順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,持ち物_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,持ち物_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,持ち物_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,持ち物_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,持ち物_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,持ち物_6
1287,2405.430,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,メンタルハーブ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0908-00,マスカーニャ,,くさ,あく,一般,,オボンのみ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,しろいハーブ,0071-00,ウツボット,,くさ,どく,一般,,ウツボットナイト
1308,2404.078,0652-00,ブリガロン,,くさ,かくとう,一般,,ブリガロナイト,0748-00,ドヒドイデ,,どく,みず,一般,,持ち物なし,0248-00,バンギラス,,いわ,あく,一般,,ラムのみ,0080-00,ヤドラン,,みず,エスパー,一般,,ヤドランナイト,0199-01,ヤドキング,ガラルのすがた,どく,エスパー,一般,,たべのこし,0450-00,カバルドン,,じめん,,一般,,オボンのみ
1333,2402.618,0970-00,キラフロル,,いわ,どく,一般,,キラフロルナイト,0635-00,サザンドラ,,あく,ドラゴン,一般,,きあいのタスキ,0479-02,ロトム,ウォッシュロトム,でんき,みず,一般,,オボンのみ,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0700-00,ニンフィア,,フェアリー,,一般,,持ち物なし
1348,2401.589,0282-00,サーナイト,,エスパー,フェアリー,一般,,サーナイトナイト,0503-01,ダイケンキ,ヒスイのすがた,みず,あく,一般,,くろいメガネ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ひかりのこな
1381,2399.356,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0450-00,カバルドン,,じめん,,一般,,たべのこし,0730-00,アシレーヌ,,みず,フェアリー,一般,,ラムのみ
1392,2396.742,0450-00,カバルドン,,じめん,,一般,,たべのこし,0970-00,キラフロル,,いわ,どく,一般,,キラフロルナイト,0149-00,カイリュー,,ドラゴン,ひこう,一般,,ラムのみ,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,のろいのおふだ,0503-01,ダイケンキ,ヒスイのすがた,みず,あく,一般,,こだわりスカーフ,0036-00,ピクシー,,フェアリー,,一般,,ピクシナイト
1473,2383.041,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0700-00,ニンフィア,,フェアリー,,一般,,カゴのみ,0637-00,ウルガモス,,むし,ほのお,一般,,オボンのみ,0302-00,ヤミラミ,,あく,ゴースト,一般,,ヤミラミナイト,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,たべのこし
1483,2380.399,0036-00,ピクシー,,フェアリー,,一般,,ピクシナイト,0115-00,ガルーラ,,ノーマル,,一般,,ガルーラナイト,0956-00,クエスパトラ,,エスパー,,一般,,オボンのみ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0914-00,ウェーニバル,,みず,かくとう,一般,,ロゼルのみ,0887-00,ドラパルト,,ドラゴン,ゴースト,一般,,きあいのタスキ
1490,2379.801,0635-00,サザンドラ,,あく,ドラゴン,一般,,りゅうのキバ,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,たべのこし,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,0227-00,エアームド,,はがね,ひこう,一般,,オボンのみ
1506,2377.946,0911-00,ラウドボーン,,ほのお,ゴースト,一般,,オボンのみ,0080-00,ヤドラン,,みず,エスパー,一般,,ヤドランナイト,0003-00,フシギバナ,,くさ,どく,一般,,フシギバナイト,0143-00,カビゴン,,ノーマル,,一般,,たべのこし,0227-00,エアームド,,はがね,ひこう,一般,,くろおび,0748-00,ドヒドイデ,,どく,みず,一般,,持ち物なし
1616,2362.727,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0637-00,ウルガモス,,むし,ほのお,一般,,ラムのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,0900-00,バサギリ,,むし,いわ,一般,,こだわりスカーフ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ピントレンズ,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ
1633,2361.793,0395-00,エンペルト,,みず,はがね,一般,,きあいのタスキ,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＸ,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ
1680,2357.068,0080-00,ヤドラン,,みず,エスパー,一般,,ヤドランナイト,0652-00,ブリガロン,,くさ,かくとう,一般,,ブリガロナイト,0199-01,ヤドキング,ガラルのすがた,どく,エスパー,一般,,まがったスプーン,0911-00,ラウドボーン,,ほのお,ゴースト,一般,,オボンのみ,0143-00,カビゴン,,ノーマル,,一般,,たべのこし,0748-00,ドヒドイデ,,どく,みず,一般,,持ち物なし
1746,2350.707,0635-00,サザンドラ,,あく,ドラゴン,一般,,こだわりスカーフ,0637-00,ウルガモス,,むし,ほのお,一般,,たべのこし,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0279-00,ペリッパー,,みず,ひこう,一般,,しんぴのしずく,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト
1781,2346.729,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ,0652-00,ブリガロン,,くさ,かくとう,一般,,ブリガロナイト,0199-01,ヤドキング,ガラルのすがた,どく,エスパー,一般,,まがったスプーン,0143-00,カビゴン,,ノーマル,,一般,,たべのこし,0080-00,ヤドラン,,みず,エスパー,一般,,ヤドランナイト,0748-00,ドヒドイデ,,どく,みず,一般,,持ち物なし
1806,2344.135,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0730-00,アシレーヌ,,みず,フェアリー,一般,,ラムのみ,0903-00,オオニューラ,,かくとう,どく,一般,,しろいハーブ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし
1829,2341.908,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,0503-01,ダイケンキ,ヒスイのすがた,みず,あく,一般,,きあいのタスキ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,のろいのおふだ,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ
1905,2335.684,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0637-00,ウルガモス,,むし,ほのお,一般,,オボンのみ,0658-00,ゲッコウガ,,みず,あく,一般,,ゲッコウガナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ラムのみ
1928,2333.768,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0130-00,ギャラドス,,みず,ひこう,一般,,たべのこし,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0970-00,キラフロル,,いわ,どく,一般,,キラフロルナイト,0635-00,サザンドラ,,あく,ドラゴン,一般,,ラムのみ,0450-00,カバルドン,,じめん,,一般,,オボンのみ
1992,2328.598,0036-00,ピクシー,,フェアリー,,一般,,ピクシナイト,0903-00,オオニューラ,,かくとう,どく,一般,,オボンのみ,0143-00,カビゴン,,ノーマル,,一般,,ヨプのみ,0658-00,ゲッコウガ,,みず,あく,一般,,きあいのタスキ,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＸ,0227-00,エアームド,,はがね,ひこう,一般,,たべのこし
2029,2325.151,0080-00,ヤドラン,,みず,エスパー,一般,,ヤドランナイト,0652-00,ブリガロン,,くさ,かくとう,一般,,ブリガロナイト,0748-00,ドヒドイデ,,どく,みず,一般,,オボンのみ,0248-00,バンギラス,,いわ,あく,一般,,シュカのみ,0823-00,アーマーガア,,ひこう,はがね,一般,,するどいくちばし,0199-01,ヤドキング,ガラルのすがた,どく,エスパー,一般,,たべのこし
2042,2324.379,0547-00,エルフーン,,くさ,フェアリー,一般,,たべのこし,0009-00,カメックス,,みず,,一般,,カメックスナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0479-02,ロトム,ウォッシュロトム,でんき,みず,一般,,こだわりスカーフ,0903-00,オオニューラ,,かくとう,どく,一般,,オボンのみ,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト
2103,2320.097,0334-00,チルタリス,,ドラゴン,ひこう,一般,,チルタリスナイト,0693-00,ブロスター,,みず,,一般,,きあいのタスキ,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ,0970-00,キラフロル,,いわ,どく,一般,,たべのこし,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト
2189,2316.377,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0395-00,エンペルト,,みず,はがね,一般,,メタルコート,0547-00,エルフーン,,くさ,フェアリー,一般,,たべのこし,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ
2252,2314.139,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0115-00,ガルーラ,,ノーマル,,一般,,ガルーラナイト,0571-01,ゾロアーク,ヒスイのすがた,ノーマル,ゴースト,一般,,きあいのタスキ,0695-00,エレザード,,でんき,ノーマル,一般,,オボンのみ,0733-00,ドデカバシ,,ノーマル,ひこう,一般,,するどいくちばし,0660-00,ホルード,,ノーマル,じめん,一般,,ラムのみ
2276,2313.483,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＸ,0478-00,ユキメノコ,,こおり,ゴースト,一般,,ユキメノコナイト,0302-00,ヤミラミ,,あく,ゴースト,一般,,ヤミラミナイト,0730-00,アシレーヌ,,みず,フェアリー,一般,,たべのこし,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,こだわりスカーフ
2299,2312.982,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0730-00,アシレーヌ,,みず,フェアリー,一般,,きあいのタスキ,0130-00,ギャラドス,,みず,ひこう,一般,,たべのこし
2304,2312.000,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト
2412,2310.554,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0149-00,カイリュー,,ドラゴン,ひこう,一般,,ラムのみ,0094-00,ゲンガー,,ゴースト,どく,一般,,きあいのタスキ,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＸ,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト
2414,2310.530,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,ひかりのこな,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,たべのこし,0706-01,ヌメルゴン,ヒスイのすがた,はがね,ドラゴン,一般,,シュカのみ,0637-00,ウルガモス,,むし,ほのお,一般,,ラムのみ
2421,2310.408,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0197-00,ブラッキー,,あく,,一般,,たべのこし,0479-02,ロトム,ウォッシュロトム,でんき,みず,一般,,カゴのみ,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ
2470,2322.000,0154-00,メガニウム,,くさ,,一般,,メガニウムナイト,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0637-00,ウルガモス,,むし,ほのお,一般,,ラムのみ,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0197-00,ブラッキー,,あく,,一般,,たべのこし,0903-00,オオニューラ,,かくとう,どく,一般,,こだわりスカーフ
2479,2309.178,0009-00,カメックス,,みず,,一般,,しろいハーブ,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＸ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ
2509,2308.584,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0197-00,ブラッキー,,あく,,一般,,たべのこし,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0730-00,アシレーヌ,,みず,フェアリー,一般,,ラムのみ
2554,2307.644,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,しろいハーブ,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0637-00,ウルガモス,,むし,ほのお,一般,,オボンのみ,0635-00,サザンドラ,,あく,ドラゴン,一般,,きあいのタスキ
2561,2307.522,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＸ,0154-00,メガニウム,,くさ,,一般,,メガニウムナイト,0149-00,カイリュー,,ドラゴン,ひこう,一般,,ラムのみ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,のろいのおふだ,0094-00,ゲンガー,,ゴースト,どく,一般,,きあいのタスキ
2572,2307.385,0127-00,カイロス,,むし,,一般,,カイロスナイト,0752-00,オニシズクモ,,みず,むし,一般,,オボンのみ,0666-18,ビビヨン,ファンシーなもよう,むし,ひこう,一般,,たべのこし,0212-00,ハッサム,,むし,はがね,一般,,持ち物なし,0900-00,バサギリ,,むし,いわ,一般,,きあいのタスキ,0214-00,ヘラクロス,,むし,かくとう,一般,,ヘラクロスナイト
2583,2307.188,0637-00,ウルガモス,,むし,ほのお,一般,,オボンのみ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,たべのこし,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,のろいのおふだ,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく
2614,2306.505,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0752-00,オニシズクモ,,みず,むし,一般,,メンタルハーブ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ
2630,2306.040,0395-00,エンペルト,,みず,はがね,一般,,シュカのみ,0448-00,ルカリオ,,かくとう,はがね,一般,,きあいのタスキ,0227-00,エアームド,,はがね,ひこう,一般,,エアームドナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,しろいハーブ,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,のろいのおふだ,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ
2662,2305.437,0428-00,ミミロップ,,ノーマル,,一般,,オボンのみ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0748-00,ドヒドイデ,,どく,みず,一般,,たべのこし,0823-00,アーマーガア,,ひこう,はがね,一般,,ひかりのこな,0143-00,カビゴン,,ノーマル,,一般,,カゴのみ,0911-00,ラウドボーン,,ほのお,ゴースト,一般,,持ち物なし
2666,2305.407,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,きあいのタスキ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0197-00,ブラッキー,,あく,,一般,,たべのこし
2685,2304.944,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0637-00,ウルガモス,,むし,ほのお,一般,,オボンのみ,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし
2686,2304.901,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,0635-00,サザンドラ,,あく,ドラゴン,一般,,こだわりスカーフ,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,たべのこし,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ラムのみ,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト
2720,2304.288,0136-00,ブースター,,ほのお,,一般,,きあいのタスキ,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし
2734,2303.951,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ
2738,2303.912,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0970-00,キラフロル,,いわ,どく,一般,,オボンのみ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,ハバンのみ,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト
2795,2303.069,0658-00,ゲッコウガ,,みず,あく,一般,,ゲッコウガナイト,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ,0248-00,バンギラス,,いわ,あく,一般,,たべのこし,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,のろいのおふだ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ
2797,2303.061,0227-00,エアームド,,はがね,ひこう,一般,,エアームドナイト,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0748-00,ドヒドイデ,,どく,みず,一般,,持ち物なし,0143-00,カビゴン,,ノーマル,,一般,,たべのこし,0302-00,ヤミラミ,,あく,ゴースト,一般,,ヤミラミナイト,0080-00,ヤドラン,,みず,エスパー,一般,,ヤドランナイト
2827,2302.411,0310-00,ライボルト,,でんき,,一般,,ライボルトナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ,0730-00,アシレーヌ,,みず,フェアリー,一般,,ラムのみ,0199-01,ヤドキング,ガラルのすがた,どく,エスパー,一般,,たべのこし,0937-00,ソウブレイズ,,ほのお,ゴースト,一般,,のろいのおふだ,0660-00,ホルード,,ノーマル,じめん,一般,,こだわりスカーフ
2830,2302.359,0609-00,シャンデラ,,ゴースト,ほのお,一般,,シャンデラナイト,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0970-00,キラフロル,,いわ,どく,一般,,きあいのタスキ,0733-00,ドデカバシ,,ノーマル,ひこう,一般,,オボンのみ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,のろいのおふだ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ
2874,2301.386,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,りゅうのキバ,0214-00,ヘラクロス,,むし,かくとう,一般,,ヘラクロスナイト,0936-00,グレンアルマ,,ほのお,エスパー,一般,,もくたん,0248-00,バンギラス,,いわ,あく,一般,,バンギラスナイト,0199-01,ヤドキング,ガラルのすがた,どく,エスパー,一般,,どくバリ
2879,2301.344,0248-00,バンギラス,,いわ,あく,一般,,シュカのみ,0530-00,ドリュウズ,,じめん,はがね,一般,,ドリュウズナイト,0635-00,サザンドラ,,あく,ドラゴン,一般,,たべのこし,0752-00,オニシズクモ,,みず,むし,一般,,きあいのタスキ,0214-00,ヘラクロス,,むし,かくとう,一般,,ヘラクロスナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ
2902,2301.017,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0036-00,ピクシー,,フェアリー,,一般,,ピクシナイト,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0130-00,ギャラドス,,みず,ひこう,一般,,オボンのみ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,しろいハーブ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ
2923,2300.684,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0637-00,ウルガモス,,むし,ほのお,一般,,持ち物なし
2954,2300.207,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＸ,0497-00,ジャローダ,,くさ,,一般,,きあいのタスキ,0730-00,アシレーヌ,,みず,フェアリー,一般,,せんせいのツメ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,ラムのみ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,メタルコート,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト
3112,2283.660,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0658-00,ゲッコウガ,,みず,あく,一般,,きあいのタスキ
3166,2278.520,0279-00,ペリッパー,,みず,ひこう,一般,,きあいのタスキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,こだわりスカーフ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0003-00,フシギバナ,,くさ,どく,一般,,フシギバナイト,0197-00,ブラッキー,,あく,,一般,,たべのこし
3215,2273.707,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0740-00,ケケンカニ,,かくとう,こおり,一般,,ケケンカニナイト,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,のろいのおふだ,0858-00,ブリムオン,,エスパー,フェアリー,一般,,きあいのタスキ,0199-01,ヤドキング,ガラルのすがた,どく,エスパー,一般,,オボンのみ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,こだわりスカーフ
3329,2267.584,0956-00,クエスパトラ,,エスパー,,一般,,オボンのみ,0036-00,ピクシー,,フェアリー,,一般,,ピクシナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,ハバンのみ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0908-00,マスカーニャ,,くさ,あく,一般,,きあいのタスキ
3549,2256.507,0663-00,ファイアロー,,ほのお,ひこう,一般,,持ち物なし,0844-00,サダイジャ,,じめん,,一般,,きあいのタスキ,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0748-00,ドヒドイデ,,どく,みず,一般,,オボンのみ,0154-00,メガニウム,,くさ,,一般,,メガニウムナイト,0635-00,サザンドラ,,あく,ドラゴン,一般,,こだわりスカーフ
3608,2254.091,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0132-00,メタモン,,ノーマル,,一般,,こだわりスカーフ,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0970-00,キラフロル,,いわ,どく,一般,,キラフロルナイト,0658-00,ゲッコウガ,,みず,あく,一般,,きあいのタスキ
